ID,Cohort,DOB,D1.Date,D1.Age,Cage,Index,Tx,Sex,Post.Covid,D1.Dist,D1.ToR,D1.DoR,0.5.D1.ToR,5.10.D1.ToR,10.15.D1.ToR,15.20.D1.ToR,20.25.D1.ToR,25.30.D1.ToR,D2.Dist,D2.Rot,D9.Dist,D9.ToR,D9D1.ToR,D9.DoR,D9.Rot,0.5.D9.ToR,5.10.D9.ToR,10.15.D9.ToR,15.20.D9.ToR,20.25.D9.ToR,25.30.D9.ToR,0.5.D9D1.ToR,5.10.D9D1.ToR,10.15.D9D1.ToR,15.20.D9D1.ToR,20.25.D9D1.ToR,25.30.D9D1.ToR,0.5.D9.Dist,5.10.D9.Dist,10.15.D9.Dist,15.20.D9.Dist,20.25.D9.Dist,25.30.D9.Dist,Brain.Wt,Brain.Wt.Norm,Brain.OXY,Brain.NOR,Brain.OMOR,Brain.NOR.OXY,Brain.OMOR.OXY,Brain.OMOR.NOR,HP.BL1,HP.BL2,HP.Av,HP.Av.Norm,SBR011268975,SBR011564753,SBJ012083864,SBB012960401,SBB013116937,SBB013583156,SBB014746527,SBB014938916,SBR015062003,SBJ015276763,SBJ015389798,SBJ015444437,SBJ016017430,SBR017236125,SBJ020533570,SBB020584334,SBB021725481,SBT021816505,SBB023323889,SBJ023442990,gJAX00097622q,SBJ024287387,SBJ024343076,SBT024676952,SBR024956708,SBJ030341629,SBR030729861,SBB030805883,SBB031685245,SBJ031952786,SBJ032260408,SBR033363410,SBJ034218063,SBJ034360732,SBJ034626667,SBB035061110,SBJ035272030,SBJ035881520,SBJ036198213,SBR040689107,SBR042358271,SBJ042986544,SBJ043363012,SBR043649829,SBJ044442934,SBR044466521,SBR050365035,SBJ052840500,SBB053347475,SBT053834758,SBJ054695332,SBJ054817009,SBR060292159,SBJ060451207,SBB060966558,SBJ060972744,SBR061598665,SBJ061822650,SBJ063150383,SBB064242512,SBB064972355,SBB065640181,SBT070125779,SBJ070125933,SBJ070127230,SBT070127390,SBT070127539,SBJ070127987,SBT070128909,SBT070131511,SBJ070132448,SBT070133022,SBT070133029,SBJ070133596,SBJ070134822,SBJ070134853,SBT070136007,SBJ070137116,SBT070144908,SBT070145074,SBJ070145110,SBJ070145899,gUNC12372829,SBJ070146013,SBT070146680,SBJ070146690,SBT070179412,SBT070180950,SBJ070181233,SBT070181237,SBT070182410,SBT070189733,SBT070189898,SBJ070190060,SBT070190289,gUNC12382380,SBT070192925,SBJ070194364,SBT070194967,SBJ070195041,SBT070195049,SBT070520070,SBT070520756,gJAX00148771,gJAX00148771b,gUNCHS019472,SBJ070522140,SBJ070523363,SBT070523467,SBJ070523772,SBJ070523993,SBT070525231,SBT070530383,SBJ070530418,SBT070530495,SBT070530685,SBT070530772,mUNC070621878,SBT070637398,SBB071094317,SBJ071824561,SBR072942061,SBB073034666,SBR073155272,SBJ073756103,SBB073932646,SBJ074372332,SBJ074558197,SBB074858469,SBR080145300,SBB080461039,SBJ080694151,SBB081423344,SBJ082066039,SBJ082115191,SBJ083139730,SBB083787445,SBR083880500,SBJ084357244,SBJ084634728,SBJ084690426,SBJ084821480,SBJ091131236,SBJ091539829,SBB091549242,SBB091584165,SBB091705845,SBJ091981684,SBJ092992728,SBT093376034,SBJ093940862,SBJ093985219,SBR100356384,SBT100670018,SBT100774147,SBR101184714,SBJ103197776,SBJ103601755,SBT103665517,SBB103807422,SBR111464647,SBJ114214093,SBB121464901,SBJ122182223,SBR122387907,SBJ122881832,SBT123149928,SBJ123283083,SBJ123360839,SBB123733881,SBJ124309136,SBB130250070,SBJ131042561,SBJ131458531,SBT132238514,SBR132392332,SBB132408413,SBB133262301,SBB133801320,SBJ133808455,SBJ141274002,SBJ141489705,SBJ142498586,SBR142791054,SBB143232863,SBJ143686906,SBJ143732293,SBB150172204,UNCrs218676023,SBB150313258,SBB150324746,SBB150693979,SBB150841520,SBB151292935,rs264203947,SBJ153255607,SBJ153377703,SBR153450431,SBB153745700,SBJ153915063,SBB160639080,SBJ160894401,SBJ163052948,SBB163575800,SBJ173421843,SBT173556233,SBJ180818887,SBB183317687,SBJ183374202,SBJ190768497,SBJ191103206,SBR191166795,SBJ191787966,SBT192021029,SBT192273213,SBB192362068,SBJ192414635,SBJ200441896,SBJ200621694,SBJ200737797,SBJ201716288,SBJ204027928,SBJ205713578,SBJ206367145,SBB206446605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.707,17.646,26.696,38.232,39.789,45.064,52.196,53.794,55.067,57.203,58.231,59.531,63.84,84.478,9.897,10.698,25.445,27.369,49.198,49.737,52.364,55.99,56.322,58.981,60.754,2.187,5.057,6.203,20.112,21.516,27.123,37.465,46.295,47.772,49.988,55.98,61.205,72.284,79.434,7.039,32.371,36.517,39.676,42.579,51.448,51.478,3.564,37.597,43.005,47.443,56.946,60.622,3.04,4.9,11.219,11.241,18.57,21.901,34.83,49.065,59.116,71.416,1.914,1.916,1.936,1.938,1.941,1.947,1.961,2.001,2.015,2.024,2.024,2.033,2.051,2.052,2.069,2.086,2.205,2.207,2.208,2.22,2.221,2.222,2.232,2.232,2.73,2.753,2.758,2.758,2.775,2.887,2.889,2.892,2.895,2.932,2.935,2.957,2.966,2.968,2.968,7.733,7.739,7.74,7.74,7.747,7.752,7.763,7.764,7.767,7.769,7.78,7.827,7.827,7.828,7.83,7.831,8.616,8.639,15.869,29.379,42.108,43.811,44.83,51.838,53.675,57.439,59.274,65.079,1.879,5.248,9.086,21.825,28.941,29.08,37.031,46.661,48.408,56.192,62.711,63.94,69.785,14.329,20.868,20.899,21.02,23.919,26.846,41.853,45.845,51.371,51.951,2.86,6.609,8.335,16.694,39.797,45.239,46.326,49.265,22.386,68.679,16.619,23.422,26.053,30.128,35.728,38.027,38.943,45.239,58.493,3.098,11.7,14.409,30.06,31.879,31.938,43.11,49.364,49.43,19.245,21.427,33.211,36.085,42.864,45.515,45.85,1.95,1.983,3.603,3.702,7.918,8.263,13.546,23.813,38.094,39.864,40.584,47.796,53.863,10.331,13.278,43.673,51.442,55.422,58.589,11.366,56.353,57.577,13.44,22.12,23.745,38.081,45.043,52.007,54.581,56.464,5.759,10.62,13.759,23.758,43.706,63.315,73.264,74.207
3431,1,10/6/2019,12/2/2019,57,528868,1,1,1,0,58.011,1048,32.037,164.8,185.4,193.2,171,157.8,175.8,84.831,159,125.358,1072.3,24.3,72.249,191,157.8,173.3,167.2,165.3,234.7,174,-7,-12.1,-26,-5.7,76.9,-1.8,11.444,14.277,13.094,11.471,14.081,7.882,,,,,,,,,15.6,20.4,18,-0.787318562,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,J,J,H,H,H,H,J,J,J,J,B,H,B,B,B,B,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,H,B,B,H,H,H,H,H,H,H,H,J,J,J,J,J,B,B,B
3432,1,10/6/2019,12/2/2019,57,528868,2,1,1,0,47.248,872.9,22.284,161.7,188.2,144.1,125.5,111.4,142.1,45.37,110,76.28,640,-232.9,33.029,107,132.2,160.8,186.7,112.1,26,22.2,-29.5,-27.4,42.6,-13.4,-85.4,-119.9,8.454,7.767,8.615,5.355,1.399,1.44,,,,,,,,,42.1,34.6,38.35,0.921306441,B,B,H,H,H,H,H,-,H,H,B,B,B,B,J,J,J,J,J,J,H,J,J,J,J,B,H,H,H,-,H,H,H,H,H,H,H,H,B,H,J,J,J,J,J,J,B,-,J,J,J,J,H,H,H,H,H,H,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,-,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,H,H,H,H,J,J,J,J,J,J,B,B,B,H,-,H,-,H,J,H,H,J,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,J,B,B,B,B,J,J,-,H,H,B,B,B,B,B,B,B,B,J,J,J,J,J,B,B,B
3433,1,10/6/2019,12/2/2019,57,528868,3,1,1,0,47.463,1106.9,26.137,166.6,173.8,217.8,195.2,152.6,201,95.032,152,116.938,608,-498.9,47.723,187,134,104.8,136.6,129,47.8,55.7,-32.6,-69,-81.2,-66.2,-104.8,-145.3,7.427,8.547,11.851,8.896,6.219,4.782,,,,,,,,,16,18.2,17.1,-0.907849773,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,J,J,J,J,B,B,B,B,B,B,B,B,B,B,H,H,J,J,H,J,J,J,J,J,J,J,J,J,J,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,-,H,J,B,B,B,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,-,H,H,H,J,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,B,B,B,B,B,B,B,J,J,J,J,B,B,B,B
3434,1,10/6/2019,12/2/2019,57,528869,4,1,1,0,57.725,798.3,28.395,151.5,115.8,149.3,156.9,116.5,108.3,72.305,140,102.001,537.7,-260.6,38.995,114,132.8,85.2,62.5,71.5,55.8,129.8,-18.7,-30.6,-86.8,-85.4,-60.7,21.5,9.342,6.85,5.502,5.183,4.393,7.725,,,,,,,,,26.3,27,26.65,0.273521592,H,H,H,H,H,H,H,H,H,H,H,H,H,B,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,J,J,J,H,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,H,J,B,B,B,B,H,H,H,H,H,J,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,J,B,B,H,H,H,J,J,J,J,J,B,B,B,B,B,B,B,B
3435,1,10/6/2019,12/2/2019,57,528869,5,1,1,0,64.01,923.5,33.892,178.2,108.9,150.6,130.8,166.4,188.7,80.475,152,97.489,1569.5,646,78.211,126,175.6,247.3,289.4,287.1,296.3,273.8,-2.6,138.4,138.8,156.3,129.9,85.1,13.636,19.032,14.657,12.797,9.594,8.496,,,,,,,,,27,18.6,22.8,-0.08868957,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,H,H,H,H,H,J,J,J,H,H,H,J,H,H,H,B,B,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,B,B,B,B,B,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,H,H,J,J,H,H,H,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,J,J,J
3437,1,10/6/2019,12/2/2019,57,528869,6,1,1,0,54.648,913.3,27.298,150.1,225.2,224.8,146.8,109.3,57,73.186,166,114.223,403.3,-510,28.294,168,105.9,56.1,18.6,55.1,64.5,103.2,-44.2,-169.1,-206.2,-91.7,-44.8,46.2,8.665,4.341,1.147,4.237,5.199,4.704,,,,,,,,,16.7,12.3,14.5,-1.287615449,J,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,H,J,J,J,J,J,H,H,H,H,H,H,J,J,H,J,J,J,J,J,J,B,B,H,J,J,J,B,B,B,B,B,B,B,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,J,J,J,B,H,H,J,J,J,J,J,B,B,J,J,J,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,J,J,J,J,J,B,B,B
3438,1,10/6/2019,12/2/2019,57,528870,7,1,0,0,66.631,972.9,32.763,206.7,148,158.9,151.8,172.1,135.5,67.886,143,89.621,95.9,-877,9.271,146,60.8,2.4,0,0,3.3,29.4,-145.9,-145.6,-158.9,-151.8,-168.8,-106.1,6.455,0.142,0,0,0.38,2.293,,,,,,,,,26.6,30.2,28.4,0.419416646,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,J,J,J,J,H,H,H,J,H,B,B,H,H,H,H,H,H,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,H,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,J,J,J,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3439,1,10/6/2019,12/2/2019,57,528870,8,1,0,0,84.794,930.7,44.678,151.2,149.5,174.3,151.1,159,145.6,88.58,157,113.036,1170.9,240.2,65.683,133,133.9,97.2,103.9,298.4,291.3,246.1,-17.3,-52.3,-70.4,147.3,132.3,100.5,11.123,9.393,7.186,12.592,13.604,11.785,,,,,,,,,23.5,34.8,29.15,0.488152684,B,B,B,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,B,B,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,B,H,H,H,H,H,H,H,J,J,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,J,J,H,B,B,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H
